v7,v8,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,bald,iperhver,ipisco,troende
1,1963,2,1,2,2,2,2,2,1,1,2,1,2,2,2,36,1,82,1
1,1979,2,2,2,2,1,2,2,2,2,2,1,2,2,2,20,0,100,1
1,1980,2,2,2,2,2,2,1,2,2,2,1,1,2,2,19,0,100,2
1,1944,2,2,2,2,2,2,2,2,2,2,2,2,2,2,55,3,51,1
2,1956,1,2,2,1,1,2,1,2,2,2,1,2,2,1,43,3,13,1
2,1963,1,1,2,1,2,2,1,1,1,2,1,2,2,1,36,3,52,1
1,1979,2,1,2,2,2,2,2,1,1,2,1,2,2,1,20,0,100,1
1,1964,1,1,1,2,2,1,1,1,1,2,1,2,2,1,35,1,71,2
1,1979,1,2,2,1,2,2,2,1,2,2,1,2,2,2,20,0,33,3
2,1946,2,2,2,2,2,2,2,2,2,2,1,2,2,2,53,3,61,1
2,1937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,62,0,100,1
2,1940,1,2,2,2,1,2,2,2,2,2,1,2,2,2,59,3,33,1
2,1964,1,2,2,2,1,2,2,2,2,2,1,2,2,2,35,3,32,1
1,1979,2,2,2,1,1,2,2,2,2,2,1,2,2,2,20,0,52,2
2,1978,2,2,2,1,1,2,1,2,2,2,1,2,2,2,21,3,33,2
1,1963,2,2,2,1,1,2,2,2,2,2,1,2,2,2,36,4,24,1
1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,57,3,31,1
1,1950,2,2,2,2,2,1,1,2,2,2,2,2,2,2,49,4,34,2
1,1942,2,2,2,2,2,2,2,2,2,2,2,2,2,2,57,4,23,2
2,1933,2,2,2,1,1,2,1,2,2,2,2,2,2,2,66,3,24,1
1,1961,2,2,2,1,1,2,2,2,2,2,1,2,2,1,38,1,51,1
1,1954,2,2,2,2,2,2,2,2,2,2,1,2,2,2,45,1,41,1
2,1970,1,2,2,1,2,2,2,2,2,2,1,2,2,1,29,2,34,2
2,1957,2,2,2,2,2,2,2,2,2,2,1,2,2,2,42,1,100,1
2,1955,2,2,1,2,2,2,2,2,2,1,2,2,2,2,44,3,100,1
2,1949,2,2,2,1,2,2,2,2,2,2,1,2,2,2,50,3,31,1
1,1967,2,2,2,1,1,2,2,2,2,2,1,2,2,2,32,3,51,2
2,1944,1,2,2,1,2,2,2,2,2,2,1,2,2,2,55,3,23,1
1,1937,1,2,2,2,2,2,2,2,2,2,1,2,2,2,62,3,71,1
1,1929,2,2,2,2,2,2,2,2,2,2,2,2,2,2,70,2,52,1
2,1961,2,2,2,2,2,2,2,2,2,2,2,2,2,2,38,0,51,1
1,1943,2,2,2,2,2,2,2,1,2,2,1,2,2,1,56,1,34,1
2,1946,2,2,2,2,2,2,2,2,2,2,1,2,2,2,53,0,91,1
2,1971,2,2,2,2,1,2,2,1,2,2,2,2,2,2,28,1,34,2
2,1956,2,2,2,2,1,2,2,2,2,2,1,2,2,2,43,1,73,1
1,1934,2,2,2,2,1,2,2,2,2,2,1,1,2,1,65,1,71,1
1,1936,2,2,2,1,2,2,2,2,2,2,1,2,2,2,63,3,12,1
1,1967,1,2,1,1,1,2,2,2,2,2,1,2,2,2,32,2,31,2
2,1959,1,2,2,2,2,2,2,2,2,2,1,2,2,2,40,1,51,1
1,1968,2,2,2,1,1,2,2,2,2,2,1,2,2,2,31,3,41,2
1,1976,1,2,2,2,1,2,1,1,2,2,1,2,2,2,23,3,51,3
1,1931,2,2,2,2,1,2,2,2,2,2,2,2,2,2,68,4,24,1
1,1963,2,2,2,2,2,2,2,1,2,2,2,2,2,1,36,2,13,1
2,1963,2,2,2,2,1,2,2,2,2,2,1,2,2,2,36,3,100,1
2,1951,2,2,2,1,2,2,1,2,2,2,1,2,2,2,48,3,51,1
1,1979,2,2,2,1,2,1,2,2,2,2,1,2,2,2,20,2,100,3
1,1959,2,2,2,1,1,2,1,2,2,2,1,2,2,2,40,4,21,2
2,1965,1,2,2,1,2,2,2,2,2,2,1,2,2,2,34,3,21,3
2,1947,2,2,2,1,2,2,2,2,2,2,1,2,2,2,52,0,100,1
2,1981,2,2,2,2,2,2,2,2,2,2,2,2,2,2,18,0,100,1
2,1959,2,2,2,1,1,2,2,2,2,2,2,2,2,2,40,4,100,1
1,1979,2,2,2,2,1,2,2,2,2,2,1,2,2,2,20,0,82,3
1,1981,2,2,2,1,2,2,2,1,2,2,1,2,2,2,18,0,100,1
2,1954,2,2,2,2,2,2,2,2,2,2,2,2,2,2,45,1,13,1
2,1951,2,2,2,2,2,2,2,2,2,2,2,2,2,2,48,3,33,1
1,1963,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36,0,41,2
2,1963,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36,3,33,1
2,1956,1,2,2,2,2,2,2,2,2,2,1,2,2,1,43,2,51,1
1,1957,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42,0,91,1
1,1967,2,2,2,2,2,2,2,2,2,2,1,2,2,2,32,0,51,3
1,1942,1,2,2,1,2,2,2,2,2,2,1,1,2,2,57,2,34,3
2,1967,1,2,2,1,2,2,2,2,2,2,1,2,2,2,32,1,12,1
1,1935,1,2,1,1,2,2,1,2,2,2,1,2,2,2,64,3,100,1
1,1935,2,2,2,2,2,2,2,2,2,2,2,2,2,2,64,2,41,1
2,1946,2,2,2,2,2,2,2,2,2,2,2,2,2,2,53,1,41,1
2,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,56,3,23,3
2,1979,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,0,33,1
1,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,56,1,34,3
1,1950,2,2,2,1,2,2,2,2,2,2,1,2,2,1,49,1,41,1
2,1948,2,2,2,2,2,2,2,2,2,2,1,2,2,1,51,0,51,1
2,1960,1,2,2,1,2,2,2,2,2,2,1,2,2,2,39,3,31,1
2,1974,2,2,2,2,2,2,2,1,1,2,2,2,2,1,25,0,51,2
1,1953,2,2,2,2,2,2,2,2,2,2,2,2,2,2,46,0,82,1
1,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,56,0,82,1
2,1931,1,2,1,1,2,1,1,1,1,1,1,1,2,1,68,0,61,2
2,1966,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33,0,42,1
1,1938,2,2,2,2,1,2,2,2,2,2,2,2,2,2,61,3,91,1
1,1949,1,2,2,1,1,2,1,1,2,2,1,1,2,2,50,0,22,1
1,1942,2,1,2,2,2,2,2,1,1,2,1,1,2,2,57,0,71,1
2,1980,1,2,2,2,2,2,2,2,2,2,1,2,2,2,19,0,100,1
2,1949,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50,1,91,1
1,1966,2,2,2,2,2,2,2,2,2,2,1,2,2,2,33,1,74,2
1,1945,2,2,1,2,1,2,2,2,2,2,1,2,2,2,54,3,34,1
1,1949,2,2,2,2,2,2,1,2,2,2,1,2,2,2,50,3,13,1
1,1943,2,2,2,2,2,2,2,2,2,2,2,2,2,2,56,0,91,2
2,1943,1,2,2,1,2,2,2,2,2,2,1,2,2,2,56,2,91,1
2,1974,1,2,2,2,2,2,2,2,2,2,1,2,2,2,25,1,52,1
2,1964,1,2,2,1,2,2,2,2,2,2,1,2,2,2,35,1,51,1
1,1944,2,2,2,1,2,2,2,1,1,2,1,1,2,2,55,0,93,1
2,1943,1,2,2,2,2,2,2,2,2,2,1,2,2,1,56,0,91,1
2,1944,1,2,2,1,2,2,2,1,2,1,1,2,2,1,55,0,41,1
2,1957,2,2,2,2,2,2,2,2,2,2,1,2,2,2,42,3,34,1
1,1945,1,1,2,1,2,2,1,1,1,1,1,1,1,1,54,1,41,1
